 alphas pca  ks dv-err
1.0e-04   5   2 16.083
1.0e-04   5   5 10.483
1.0e-04   5  10 61.800
1.0e-04   5  20 12.633
1.0e-04   5  50  5.017
1.0e-04   5 100 75.650
1.0e-04  10   1 30.417
1.0e-04  10   2  6.267
1.0e-04  10   5 61.800
1.0e-04  10  10 11.383
1.0e-04  10  20 72.683
1.0e-04  10  50 22.717
1.0e-04  10 100  4.033
1.0e-04  20   1 14.050
1.0e-04  20   2 70.600
1.0e-04  20   5 12.633
1.0e-04  20  10 72.683
1.0e-04  20  20 10.967
1.0e-04  20  50 75.417
1.0e-04  20 100  9.000
1.0e-04  50   1 16.083
1.0e-04  50   2 61.800
1.0e-04  50   5  5.017
1.0e-04  50  10 22.717
1.0e-04  50  20 75.417
1.0e-04  50  50  4.633
1.0e-04  50 100 64.317
1.0e-04 100   1  5.633
1.0e-04 100   2 30.583
1.0e-04 100   5 75.650
1.0e-04 100  10  4.033
1.0e-04 100  20  9.000
1.0e-04 100  50 64.317
1.0e-04 100 100  2.217
1.0e-03   1   1 76.700
1.0e-03   1   2 64.400
1.0e-03   1   5 30.633
1.0e-03   1  10 17.033
1.0e-03   1  20 16.083
1.0e-03   1  50 19.083
1.0e-03   1 100  4.300
1.0e-03   2   1 64.400
1.0e-03   2   2 17.033
1.0e-03   2   5 19.083
1.0e-03   2  10  4.917
1.0e-03   2  20 61.800
1.0e-03   2  50 20.167
1.0e-03   2 100  5.800
1.0e-03   5   1 30.633
1.0e-03   5   2 19.083
1.0e-03   5   5 77.950
1.0e-03   5  10 20.167
1.0e-03   5  20  5.017
1.0e-03   5  50 59.233
1.0e-03   5 100  9.750
1.0e-03  10   1 17.033
1.0e-03  10   2  4.917
1.0e-03  10   5 20.167
1.0e-03  10  10  6.383
1.0e-03  10  20 22.717
1.0e-03  10  50  6.667
1.0e-03  10 100 30.300
1.0e-03  20   1 16.083
1.0e-03  20   2 61.800
1.0e-03  20   5  5.017
1.0e-03  20  10 22.717
1.0e-03  20  20 75.417
1.0e-03  20  50  4.633
1.0e-03  20 100 64.317
1.0e-03  50   1 19.083
1.0e-03  50   2 20.167
1.0e-03  50   5 59.233
1.0e-03  50  10  6.667
1.0e-03  50  20  4.633
1.0e-03  50  50 31.100
1.0e-03  50 100 76.233
1.0e-03 100   1  4.300
1.0e-03 100   2  5.800
1.0e-03 100   5  9.750
1.0e-03 100  10 30.300
1.0e-03 100  20 64.317
1.0e-03 100  50 76.233
1.0e-03 100 100  3.850
1.0e-02   1   1 75.733
1.0e-02   1   2 64.167
1.0e-02   1   5 30.550
1.0e-02   1  10 10.117
1.0e-02   1  20  5.633
1.0e-02   1  50  4.300
1.0e-02   1 100  4.617
1.0e-02   2   1 64.167
1.0e-02   2   2 10.117
1.0e-02   2   5  4.300
1.0e-02   2  10 75.733
1.0e-02   2  20 30.583
1.0e-02   2  50  5.800
1.0e-02   2 100  4.350
1.0e-02   5   1 30.550
1.0e-02   5   2  4.300
1.0e-02   5   5 64.083
1.0e-02   5  10  5.800
1.0e-02   5  20 75.650
1.0e-02   5  50  9.750
1.0e-02   5 100  3.833
1.0e-02  10   1 10.117
1.0e-02  10   2 75.733
1.0e-02  10   5  5.800
1.0e-02  10  10 63.533
1.0e-02  10  20  4.033
1.0e-02  10  50 30.300
1.0e-02  10 100  2.617
1.0e-02  20   1  5.633
1.0e-02  20   2 30.583
1.0e-02  20   5 75.650
1.0e-02  20  10  4.033
1.0e-02  20  20  9.000
1.0e-02  20  50 64.317
1.0e-02  20 100  2.217
1.0e-02  50   1  4.300
1.0e-02  50   2  5.800
1.0e-02  50   5  9.750
1.0e-02  50  10 30.300
1.0e-02  50  20 64.317
1.0e-02  50  50 76.233
1.0e-02  50 100  3.850
1.0e-02 100   1  4.617
1.0e-02 100   2  4.350
1.0e-02 100   5  3.833
1.0e-02 100  10  2.617
1.0e-02 100  20  2.217
1.0e-02 100  50  3.850
1.0e-02 100 100 13.117
1.0e-01   1   1 58.283
1.0e-01   1   2 34.433
1.0e-01   1   5 17.033
1.0e-01   1  10  9.483
1.0e-01   1  20  6.267
1.0e-01   1  50  4.917
1.0e-01   1 100 75.733
1.0e-01   2   1 34.433
1.0e-01   2   2  9.483
1.0e-01   2   5  4.917
1.0e-01   2  10 37.717
1.0e-01   2  20 11.383
1.0e-01   2  50  6.383
1.0e-01   2 100 63.533
1.0e-01   5   1 17.033
1.0e-01   5   2  4.917
1.0e-01   5   5 20.167
1.0e-01   5  10  6.383
1.0e-01   5  20 22.717
1.0e-01   5  50  6.667
1.0e-01   5 100 30.300
1.0e-01  10   1  9.483
1.0e-01  10   2 37.717
1.0e-01  10   5  6.383
1.0e-01  10  10 13.267
1.0e-01  10  20 65.217
1.0e-01  10  50  4.133
1.0e-01  10 100  7.883
1.0e-01  20   1  6.267
1.0e-01  20   2 11.383
1.0e-01  20   5 22.717
1.0e-01  20  10 65.217
1.0e-01  20  20 77.650
1.0e-01  20  50  3.650
1.0e-01  20 100  4.150
1.0e-01  50   1  4.917
1.0e-01  50   2  6.383
1.0e-01  50   5  6.667
1.0e-01  50  10  4.133
1.0e-01  50  20  3.650
1.0e-01  50  50  6.117
1.0e-01  50 100  7.267
1.0e-01 100   1 75.733
1.0e-01 100   2 63.533
1.0e-01 100   5 30.300
1.0e-01 100  10  7.883
1.0e-01 100  20  4.150
1.0e-01 100  50  7.267
1.0e-01 100 100 14.617
2.0e-01   1   1 57.817
2.0e-01   1   2 30.633
2.0e-01   1   5 10.783
2.0e-01   1  10 19.083
2.0e-01   1  20 10.483
2.0e-01   1  50 77.950
2.0e-01   1 100 64.083
2.0e-01   2   1 30.633
2.0e-01   2   2 19.083
2.0e-01   2   5 77.950
2.0e-01   2  10 20.167
2.0e-01   2  20  5.017
2.0e-01   2  50 59.233
2.0e-01   2 100  9.750
2.0e-01   5   1 10.783
2.0e-01   5   2 77.950
2.0e-01   5   5  9.283
2.0e-01   5  10 59.233
2.0e-01   5  20 11.567
2.0e-01   5  50 30.250
2.0e-01   5 100  2.583
2.0e-01  10   1 19.083
2.0e-01  10   2 20.167
2.0e-01  10   5 59.233
2.0e-01  10  10  6.667
2.0e-01  10  20  4.633
2.0e-01  10  50 31.100
2.0e-01  10 100 76.233
2.0e-01  20   1 10.483
2.0e-01  20   2  5.017
2.0e-01  20   5 11.567
2.0e-01  20  10  4.633
2.0e-01  20  20  6.083
2.0e-01  20  50 11.983
2.0e-01  20 100 38.967
2.0e-01  50   1 77.950
2.0e-01  50   2 59.233
2.0e-01  50   5 30.250
2.0e-01  50  10 31.100
2.0e-01  50  20 11.983
2.0e-01  50  50  7.600
2.0e-01  50 100  5.733
2.0e-01 100   1 64.083
2.0e-01 100   2  9.750
2.0e-01 100   5  2.583
2.0e-01 100  10 76.233
2.0e-01 100  20 38.967
2.0e-01 100  50  5.733
2.0e-01 100 100 12.950
5.0e-01   1   1 59.267
5.0e-01   1   2 30.417
5.0e-01   1   5 16.083
5.0e-01   1  10  6.267
5.0e-01   1  20 70.600
5.0e-01   1  50 61.800
5.0e-01   1 100 30.583
5.0e-01   2   1 30.417
5.0e-01   2   2  6.267
5.0e-01   2   5 61.800
5.0e-01   2  10 11.383
5.0e-01   2  20 72.683
5.0e-01   2  50 22.717
5.0e-01   2 100  4.033
5.0e-01   5   1 16.083
5.0e-01   5   2 61.800
5.0e-01   5   5  5.017
5.0e-01   5  10 22.717
5.0e-01   5  20 75.417
5.0e-01   5  50  4.633
5.0e-01   5 100 64.317
5.0e-01  10   1  6.267
5.0e-01  10   2 11.383
5.0e-01  10   5 22.717
5.0e-01  10  10 65.217
5.0e-01  10  20 77.650
5.0e-01  10  50  3.650
5.0e-01  10 100  4.150
5.0e-01  20   1 70.600
5.0e-01  20   2 72.683
5.0e-01  20   5 75.417
5.0e-01  20  10 77.650
5.0e-01  20  20 77.300
5.0e-01  20  50 76.867
5.0e-01  20 100 75.233
5.0e-01  50   1 61.800
5.0e-01  50   2 22.717
5.0e-01  50   5  4.633
5.0e-01  50  10  3.650
5.0e-01  50  20 76.867
5.0e-01  50  50 30.200
5.0e-01  50 100  9.517
5.0e-01 100   1 30.583
5.0e-01 100   2  4.033
5.0e-01 100   5 64.317
5.0e-01 100  10  4.150
5.0e-01 100  20 75.233
5.0e-01 100  50  9.517
5.0e-01 100 100 10.717
9.0e-01   1   1 61.833
9.0e-01   1   2 26.050
9.0e-01   1   5  7.617
9.0e-01   1  10 14.933
9.0e-01   1  20 76.700
9.0e-01   1  50 31.367
9.0e-01   1 100  9.750
9.0e-01   2   1 26.050
9.0e-01   2   2 14.933
9.0e-01   2   5 31.367
9.0e-01   2  10  7.883
9.0e-01   2  20 63.817
9.0e-01   2  50  6.000
9.0e-01   2 100 75.867
9.0e-01   5   1  7.617
9.0e-01   5   2 31.367
9.0e-01   5   5 70.533
9.0e-01   5  10  6.000
9.0e-01   5  20 29.300
9.0e-01   5  50 73.967
9.0e-01   5 100  2.733
9.0e-01  10   1 14.933
9.0e-01  10   2  7.883
9.0e-01  10   5  6.000
9.0e-01  10  10  8.767
9.0e-01  10  20 10.417
9.0e-01  10  50 33.383
9.0e-01  10 100 71.133
9.0e-01  20   1 76.700
9.0e-01  20   2 63.817
9.0e-01  20   5 29.300
9.0e-01  20  10 10.417
9.0e-01  20  20  7.133
9.0e-01  20  50  6.733
9.0e-01  20 100  9.750
9.0e-01  50   1 31.367
9.0e-01  50   2  6.000
9.0e-01  50   5 73.967
9.0e-01  50  10 33.383
9.0e-01  50  20  6.733
9.0e-01  50  50 73.133
9.0e-01  50 100 30.667
9.0e-01 100   1  9.750
9.0e-01 100   2 75.867
9.0e-01 100   5  2.733
9.0e-01 100  10 71.133
9.0e-01 100  20  9.750
9.0e-01 100  50 30.667
9.0e-01 100 100 11.050
1.0e+01   1   1 64.400
1.0e+01   1   2 17.033
1.0e+01   1   5 19.083
1.0e+01   1  10  4.917
1.0e+01   1  20 61.800
1.0e+01   1  50 20.167
1.0e+01   1 100  5.800
1.0e+01   2   1 17.033
1.0e+01   2   2  4.917
1.0e+01   2   5 20.167
1.0e+01   2  10  6.383
1.0e+01   2  20 22.717
1.0e+01   2  50  6.667
1.0e+01   2 100 30.300
1.0e+01   5   1 19.083
1.0e+01   5   2 20.167
1.0e+01   5   5 59.233
1.0e+01   5  10  6.667
1.0e+01   5  20  4.633
1.0e+01   5  50 31.100
1.0e+01   5 100 76.233
1.0e+01  10   1  4.917
1.0e+01  10   2  6.383
1.0e+01  10   5  6.667
1.0e+01  10  10  4.133
1.0e+01  10  20  3.650
1.0e+01  10  50  6.117
1.0e+01  10 100  7.267
1.0e+01  20   1 61.800
1.0e+01  20   2 22.717
1.0e+01  20   5  4.633
1.0e+01  20  10  3.650
1.0e+01  20  20 76.867
1.0e+01  20  50 30.200
1.0e+01  20 100  9.517
1.0e+01  50   1 20.167
1.0e+01  50   2  6.667
1.0e+01  50   5 31.100
1.0e+01  50  10  6.117
1.0e+01  50  20 30.200
1.0e+01  50  50  5.167
1.0e+01  50 100 55.800
1.0e+01 100   1  5.800
1.0e+01 100   2 30.300
1.0e+01 100   5 76.233
1.0e+01 100  10  7.267
1.0e+01 100  20  9.517
1.0e+01 100  50 55.800
