Temp       5   10   15   20   25   30   35   40   45   50   55   60   65   70   75   80   85   90   95
Press
  10    0.90 0.90 0.90 0.90 0.90 0.87 0.83 0.78 0.75 0.75 0.75 0.68 0.58 0.47 0.40 0.40 0.40 0.40 0.40
  20    0.90 0.90 0.90 0.90 0.90 0.88 0.82 0.77 0.75 0.75 0.75 0.71 0.57 0.44 0.40 0.40 0.40 0.40 0.40
  30    0.90 0.90 0.90 0.90 0.90 0.89 0.83 0.76 0.75 0.75 0.75 0.73 0.58 0.42 0.40 0.40 0.40 0.40 0.40
  40    0.90 0.90 0.90 0.90 0.90 0.89 0.83 0.76 0.75 0.75 0.75 0.73 0.58 0.42 0.40 0.40 0.40 0.40 0.40
  50    0.90 0.90 0.90 0.90 0.90 0.90 0.83 0.75 0.75 0.75 0.75 0.74 0.58 0.41 0.40 0.40 0.40 0.40 0.40
  60    0.90 0.90 0.90 0.90 0.90 0.90 0.83 0.75 0.75 0.75 0.75 0.74 0.58 0.41 0.40 0.40 0.40 0.40 0.40
  70    0.90 0.90 0.90 0.90 0.90 0.90 0.83 0.75 0.75 0.75 0.75 0.74 0.58 0.41 0.40 0.40 0.40 0.40 0.40
  80    0.90 0.90 0.90 0.90 0.90 0.90 0.83 0.75 0.75 0.75 0.75 0.74 0.58 0.41 0.40 0.40 0.40 0.40 0.40
  90    0.90 0.90 0.90 0.90 0.90 0.90 0.83 0.75 0.75 0.75 0.75 0.74 0.58 0.41 0.40 0.40 0.40 0.40 0.40
 100    0.90 0.90 0.90 0.90 0.90 0.90 0.83 0.75 0.75 0.75 0.75 0.74 0.58 0.41 0.40 0.40 0.40 0.40 0.40
 110    0.90 0.90 0.90 0.90 0.90 0.90 0.83 0.75 0.75 0.75 0.75 0.74 0.58 0.41 0.40 0.40 0.40 0.40 0.40
 120    0.90 0.90 0.90 0.90 0.90 0.90 0.83 0.75 0.75 0.75 0.75 0.74 0.58 0.41 0.40 0.40 0.40 0.40 0.40
 130    0.90 0.90 0.90 0.90 0.90 0.90 0.83 0.75 0.75 0.75 0.75 0.74 0.58 0.41 0.40 0.40 0.40 0.40 0.40
 140    0.90 0.90 0.90 0.90 0.90 0.90 0.83 0.75 0.75 0.75 0.75 0.74 0.58 0.41 0.40 0.40 0.40 0.40 0.40
 150    0.89 0.90 0.90 0.90 0.90 0.89 0.82 0.75 0.75 0.75 0.75 0.73 0.57 0.41 0.40 0.40 0.40 0.40 0.40
 160    0.77 0.82 0.82 0.82 0.82 0.81 0.73 0.70 0.69 0.69 0.69 0.68 0.51 0.38 0.37 0.37 0.37 0.37 0.34
 170    0.72 0.74 0.74 0.74 0.74 0.73 0.68 0.63 0.63 0.63 0.63 0.61 0.47 0.35 0.33 0.33 0.33 0.33 0.32
 180    0.66 0.64 0.64 0.64 0.64 0.64 0.62 0.54 0.52 0.52 0.52 0.51 0.41 0.30 0.28 0.28 0.28 0.28 0.29
 190    0.62 0.59 0.59 0.59 0.59 0.59 0.57 0.47 0.46 0.46 0.46 0.45 0.37 0.28 0.26 0.26 0.26 0.26 0.27
 200    0.55 0.55 0.55 0.55 0.55 0.55 0.50 0.41 0.40 0.40 0.40 0.40 0.31 0.25 0.25 0.25 0.25 0.25 0.25
 210    0.55 0.55 0.55 0.55 0.55 0.55 0.50 0.41 0.40 0.40 0.40 0.39 0.30 0.25 0.25 0.25 0.25 0.25 0.25
 220    0.55 0.55 0.55 0.55 0.55 0.55 0.50 0.41 0.40 0.40 0.40 0.39 0.30 0.25 0.25 0.25 0.25 0.25 0.25
 230    0.55 0.55 0.55 0.55 0.55 0.55 0.50 0.41 0.40 0.40 0.40 0.39 0.30 0.25 0.25 0.25 0.25 0.25 0.25
 240    0.55 0.55 0.55 0.55 0.55 0.55 0.50 0.41 0.40 0.40 0.40 0.39 0.30 0.25 0.25 0.25 0.25 0.25 0.25
 250    0.55 0.55 0.55 0.55 0.55 0.55 0.50 0.41 0.40 0.40 0.40 0.39 0.30 0.25 0.25 0.25 0.25 0.25 0.25
 260    0.55 0.55 0.55 0.55 0.55 0.55 0.50 0.41 0.40 0.40 0.40 0.39 0.30 0.25 0.25 0.25 0.25 0.25 0.25
 270    0.55 0.55 0.55 0.55 0.55 0.55 0.50 0.41 0.40 0.40 0.40 0.39 0.30 0.25 0.25 0.25 0.25 0.25 0.25
 280    0.55 0.55 0.55 0.55 0.55 0.55 0.50 0.41 0.40 0.40 0.40 0.39 0.30 0.25 0.25 0.25 0.25 0.25 0.25
 290    0.55 0.55 0.55 0.55 0.55 0.55 0.50 0.41 0.40 0.40 0.40 0.39 0.30 0.25 0.25 0.25 0.25 0.25 0.25
